Abordagem,Algoritmo,Conjunto,False Positive,False Negative,True Positive,True Negative,True Positive rate,True Negative rate,False Positive rate,False Negative rate,Positive Predictive value,Negative Predictive value,False Discovery rate,Accuracy,F1 Score
sem_lower,bigram,test,7254,7254,122400,5697522,"0,944051089823684","0,998728433859629","0,00127156614037081","0,0559489101763154","0,944051089823684","0,998728433859629","0,0559489101763154","0,997513381769942","0,944051089823684"
sem_lower,bigram,val,7691,7691,124077,5790101,"0,94163226276486","0,998673460517383","0,00132653948261683","0,0583677372351406","0,94163226276486","0,998673460517383","0,0583677372351406","0,997405878345105","0,94163226276486"
sem_lower,unigram,test,9479,9479,120175,5695297,"0,926890030388572","0,998338409781558","0,00166159021844153","0,0731099696114273","0,926890030388572","0,998338409781558","0,0731099696114273","0,99675066801727","0,926890030388572"
sem_lower,unigram,val,9760,9760,122008,5788032,"0,925930423167992","0,998316600526545","0,00168339947345472","0,0740695768320078","0,925930423167992","0,998316600526545","0,0740695768320078","0,996708018807466","0,925930423167992"
com_lower,bigram,test,8595,8595,121059,5696181,"0,93370817714841","0,998493367662464","0,00150663233753613","0,0662918228515896","0,93370817714841","0,998493367662464","0,0662918228515896","0,997053696762152","0,93370817714841"
com_lower,bigram,val,9089,9089,122679,5788703,"0,931022706575193","0,998432334240345","0,00156766575965471","0,0689772934248072","0,931022706575193","0,998432334240345","0,0689772934248072","0,996934342514453","0,931022706575193"
com_lower,unigram,test,11903,11903,117751,5692873,"0,908194116648927","0,997913502651112","0,00208649734888802","0,0918058833510729","0,908194116648927","0,997913502651112","0,0918058833510729","0,99591973851773","0,908194116648927"
com_lower,unigram,val,12054,12054,119714,5785738,"0,908521036974076","0,997920932658502","0,00207906734149828","0,0914789630259244","0,908521036974076","0,997920932658502","0,0914789630259244","0,995934268309959","0,908521036974076"
